links,content
https://doj.gov.in/citizens-charter/,"Last Updated : 01-04-2024

Facilitating administration of Justice that ensures easy access and timely delivery of Justice to all.
Ensuring adequacy of courts and judges, including appointment of Judges to the higher judiciary, modernization and digitisation of courts and procedures, policies for judicial reforms and Legal aid to the poor with suitable use of technology for improved justice delivery.
PDF Format (264 KB)
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Citizens’ Charter
Citizens’/Clients’ Charter
FOR
DEPARTMENT OF JUSTICE
2024-25
VISION:
MISSION:"
https://doj.gov.in/acts-and-rules/,"Last Updated : 14-10-2024

The Contempt of Courts Act, 1971

Download (820 KB) 

Justice -I
न्यायालय फीस अधिनियम, 1870
The Court Fees Act, 1870

Justice -I

(The) Judges (Protection) Act, 1985
Download (1 MB)

Appointments Division

The Judges Inquiry Act, 1968

Download (2 MB)

Appointments Division

The Delhi High Court Act, 1966

The Gram Nyayalayas Act, 2008

The Legal Services Authorities Act, 1987

Download (10 MB)

National Legal Services Authority

Constitution of India


The Supreme Court Judges (Salaries and Conditions of Service) Act, 1958

Download (1 MB)

Justice -I

The High Court Judges (Salaries and Conditions of Service) Act, 1954

Download (1 MB)

Justice -I

The Family Courts Act, 1984

Download (6 MB)

Justice -II

The Family Courts Amendment Act, 1991

Download (92 KB)

Justice -II

The Supreme Court Judges (Travelling Allowance) Rules 1959 and the Supreme Court Judges Rules, 1959 (as on 21.09.2022)

Download (389 KB)


The High Court Judges Travelling Allowance Rules, 1956 and the High Court Judges Rules, 1956 (As on 21.09.2022)

Download (341 KB)

Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Acts and Rules"
https://doj.gov.in/website-information-manager/,"Last Updated : 29-11-2022
Name: Shri Pravash Prashun Pandey
(Joint Secretary)
Email: js[dot]ecourts[-]doj[at]gov[dot]in
Phone: +91-11-23381496
Address: Room No. 25, Jaisalmer House, 26, Mansingh Road, New Delhi
Pin: 110011
Website: www[dot]doj[dot]gov[dot]in
For more details: Who’s Who
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Website Information Manager"
https://doj.gov.in/#,"









DEPARTMENT OF JUSTICE
Latest News













"
https://doj.gov.in/#,"









DEPARTMENT OF JUSTICE
Latest News













"
https://doj.gov.in/latest-orders-of-appointment-transfer-etc/,"Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Latest Orders of Appointment, Transfer etc."
https://doj.gov.in/memorandum-of-procedure-of-appointment-of-supreme-court-judges/,"Last updated: 11-08-2021
ANNEXURE
FORM OF MEDICAL CERTIFICATE (Please see paragraph 4)
              I hereby certify that I have examined Shri Justice………………………………………………… and can not discover that he has any disease (communicable or otherwise), constitutional weakness or bodily infirmity, which would disqualify* him for employment as Judge of the Supreme Court except ……………………………………………………………I do not consider this a disqualification* for employment as Judge of the Supreme Court.
                                                                                                                                                                                                    SIGNATURE:
                                                                                                                                                                                                    DESIGNATION:
Dated…………………….
Signature of Candidate ………………………
 
* Note: This certificate should take into account the fact that a Supreme Court Judge retires at the age of 65 years.
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Memorandum of procedure of appointment of Supreme Court Judges
The Chief Justice of India and the Judges of the Supreme Court are appointed by the President under clause (2) of Article 124 of the Constitution.
CHIEF JUSTICE OF INDIA :
JUDGES OF THE SUPREME COURT :
APPOINTMENT OF ACTING CHIEF JUSTICE :
APPOINTMENT OF AD HOC JUDGES :
ATTENDANCE OF RETIRED JUDGES AT SITTINGS OF THE SUPREME COURT:"
https://doj.gov.in/memorandum-of-procedure-of-appointment-of-high-court-judges/,"Last updated: 11-08-2021
The Chief Justice of India would send his recommendation for the appointment of a puisne Judge of the High Court as Chief Justice of that High Court or of another High Court, in consultation with the two senior- most Judges of the Supreme Court. He would also ascertain the views of the seniormost colleague in the Supreme Court who is conversant with the affairs of the High Court in which the recommendee has been functioning and whose opinion is likely to be significant in adjudging the suitability of the candidate. It is of no consequence whether the Judge of the Supreme Court, so consulted, had that High Court as Parent High Court or was transferred there from any other High Court.
The views of the Judges of the Supreme Court thus consulted would then be sent by the Chief Justice of India alongwith his proposal, to the Union Minister of Law, Justice and Company Affairs.
Annexure- I (i)
(Para-12)
*  Confidential Reports of last 15 years, to the extent written, should invariably be annexed by the High Court.
** Preference indicated, however, would not restrict appointment/transfer to any other High Court.
Annexure- I (ii)
(Chief Justice of the High Court)
Annexure- II
I hereby certify that I have examined Shri..…………………………………… and cannot discover that he has any disease (communicable or otherwise); constitutional weakness or bodily infirmity, which would disqualify* him except ….……………………………………………………………… I do not consider this disqualification* for employment as Judge of a High Court.
Signature:
Date:
Designation:
Signature of Candidate:
* Note: This certificate should take into account the fact that a High Court Judge retires at the age of 62 years.
Annexure- III
           I hereby certify that my date of birth is ……………………………………… (here enter date of birth according to the English calendar) and in support thereof, I enclose ……………………………………………… the following documents:-
          I shall submit separately.
A certified extract from: –
(a) the Birth Register;
(b) the School Register;
(c) the College Register; and
(d) the Service Book.
Signature of candidate
Date:
Note: If any of the documents is not available, please say so against it.
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Memorandum of procedure of appointment of High Court Judges
APPOINTMENT OF CHIEF JUSTICE
APPOINTMENT OF ACTING CHIEF JUSTICE
APPOINTMENT OF PERMANENT JUDGES
APPOINTMENT OF PERMANENT JUDGES IN A HIGH COURT HAVING JURISDICTION OVER MORE THAN ONE STATE:
APPOINTMENT OF ADDITIONAL JUDGES
APPOINTMENT OF ACTING JUDGES
ATTENDANCE OF RETIRED JUDGES AT SITTINGS OF HIGH COURTS
TRANSFER OF A JUDGE (INCLUDING CHIEF JUSTICE) FROM ONE HIGH COURT TO ANOTHER HIGH COURT:
(Please see paragraph 17)
FORM OF MEDICAL CERTIFICATE"
https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2024/10/20241001654203467.pdf,
https://doj.gov.in/list-of-high-court-judges/,"Last updated: 01-10-2024
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024List of High Court Judges"
https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2024/10/202410012133190593.pdf,
https://doj.gov.in/vacancy-position/,"Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Vacancy Position
1. SUPREME COURT
2. HIGH COURTS
3. VACANCY POSITIONS AS ON 01.10.2024 (PDF 66KB)"
https://dashboard.doj.gov.in/vacancy-position/high_court_benches.php,High Courts: Principal Seats and Benches
https://doj.gov.in/#,"









DEPARTMENT OF JUSTICE
Latest News













"
https://doj.gov.in/pay-allowance/,"Last updated: 24-02-2022

Salaries, gratuity, pension, allowances etc. in respect of Judges of Supreme Court are governed by the Supreme Court Judges (Salaries and Conditions of Service) Act, 1958.  Salaries etc. of Judges of High Courts are governed by High Court Judges (Salaries and Conditions of Service) Act, 1954.  An amendment in the Acts is required whenever there is any proposal for revision of salaries/pension gratuity, allowances etc. in respect of Judges of Supreme Court and High Courts.
Salaries and allowances of Judges of Supreme Court and High Court were last revised w.e.f. 1.1.2006 consequent upon the recommendations of 6th CPC.
Pursuant to the implementation of the report of 7th CPC by Central Government in respect of civil servants, the Chief Justice of India (CJI) constituted a Committee of three sitting Judges to recommend revision in the salaries and other service conditions for the CJI and Judges of Supreme Court and Chief Justices of High Courts.
The report of Judges Committee, received by the Government on 21.9.2016, was sent to Finance Ministry for examination. Hon’ble Finance Minister, vide letter 28.11.2016, conveyed comments of his Ministry.   A proposal was sent to Cabinet Sectt. for seeking the approval of Union Cabinet for revision of pay, allowances and pension of High Court and Supreme Court Judges.
The Union Cabinet chaired by the Hon’ble Prime Minister approved the proposal for revision in the salaries, gratuity, allowances, pension etc. of the Judges of the Supreme Court and the High Courts on 22.11.2017.
A Bill was introduced in the Parliament on 21.12.2017 for amendment in the Supreme Court Judges (Salaries and Conditions of Service) Act, 1958 and High Court Judges (Salaries and Conditions of Service) Act, 1954.  The Bill was passed by Parliament and enacted after the assent of the Hon’ble President.
Consequent upon amendment of both the Acts mentioned above, Department of Justice vide letter dated 30.01.2018 issued necessary instructions to all State Governments/UTs, Accountants General of all States and Registry Supreme Court to revise the pay, allowances and pension of all sitting and retired High Court and Supreme Court Judges.
Revised rates of Salary, Allowances and Pension of Supreme Court and High Court Judges w.e.f. 01.01.2016 are as under:-
Further increase of HRA @ 27% when Dearness Allowance (DA) crosses 25% and @ 30% when DA crosses 50% has also been agreed to by Cabinet.
The Salaries, Pension and Allowances of the Supreme Court Judges are charged upon the Consolidated Fund of India, whereas the Salaries and Allowances of the High Court Judges are charged upon the Consolidated Fund of the States and the Pension is charged on the Consolidated Fund of India.
 
 
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Pay, Allowance and Pension"
https://doj.gov.in/first-national-judicial-pay-commission/,"Last updated: 17-03-2022

Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024First National Judicial Pay Commission"
https://doj.gov.in/second-national-judicial-pay-commission/,"Last updated: 14-10-2024

The Supreme Court of India on 09.05.2017 in Writ Petition No.643/2015 directed to appoint a Judicial Pay Commission to review the pay scales, emoluments and service conditions of the Judicial Officers of Subordinate Judiciary in India. Accordingly, with the approval of the Cabinet, the Government notified setting up of the SNJPC on 16.11.2017 under the Chairmanship of Mr. Justice (Retd.) P.VenkataramaReddi, former Judge of Supreme Court of India.
Member- Mr. Justice (Retd.) R. Basant, former Judge of Kerala High Court.
Member Secretary (to be chosen by the Commission, preferably a Judicial Officer).
SNJPC has submitted their report to this Department on dated 04.02.2020. A copy of report has been submitted to Supreme Court of India and to State Governments.  The recommendations of SNJPC are under consideration of Supreme Court of India.  This Department has filed its views/comments on the recommendations of SNJPC in the Supreme Court of India on 22.06.2020.
The recommendations of SNJPC shall be considered by this Department in respect of judicial officers of the Union Territories in consultation with Department of Expenditure, Ministry of Finance and necessary orders will be issued to Union Territories to revise the pay and allowance of Judicial Officers under their administrative control.
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Second National Judicial Pay Commission"
https://doj.gov.in/mou-signed-with-other-countries/,"Last updated: 12-10-2022

Department of Justice has signed MoUs/Protocol relating to judicial cooperation with the following countries: – 
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Memorandum of Understanding signed with other countries"
https://doj.gov.in/pecuniary-jurisdiction-of-delhi-district-courts/,"Last updated: 17-03-2022

Government of National Capital Territory of Delhi had received a request for enhancement of original pecuniary jurisdiction of District Courts of Delhi from the existing Rs. 20 lakh to Rs. 2 crore from the Coordination Committee of All Bar Associations of Delhi.
Government of National Capital Territory considered this request and observed that increasing the pecuniary jurisdiction would lessen the burden on High Court and there would be substantive improvement in disposal of cases in subordinate courts, since number of subordinate Courts has now increased due to creation of eleven Districts in Delhi.  Enhancement of pecuniary jurisdiction of Delhi District Courts will facilitate access of general public to the District Courts within the vicinity of their location.  Moreover, this would also be helpful to litigants in providing “Justice at Doorstep” due to the location of District Courts in different parts of Delhi.
The proposal received from the Govt. of NCT of Delhi seeking amendments in the Delhi High Court Act, 1966 to provide for enhancing the pecuniary limits of the District Courts of Delhi from the existing Rs.20 lakhs to Rs.2 crore was examined and a Bill viz., The Delhi High Court (Amendment) Bill, 2015 was introduced in the Parliament. The said Bill was considered and passed by both the Houses of Parliament. The Bill received the assent of the President President of India on 10.08.2015 and has been brought into force w.e.f.26.10.2015.
Increasing the pecuniary jurisdiction of district Courts of Delhi would lessen the burden of Delhi High Court and there would be substantive improvement in disposal of cases in subordinate Courts. This will facilitate access of the general public to 11 District Courts located in 6 District Court Complexes within the vicinity of their location, ensuring speedy justice to the litigants at their door steps.
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Pecuniary Jurisdiction of Delhi District Courts"
https://doj.gov.in/use-of-hindi-and-regional-languages/,"Last updated: 17-03-2022

Article 348(1) of the Constitution of India provides that all proceedings in the Supreme Court and in every High Court shall be in English language until Parliament by law otherwise provides.
Article 348 (2) provides that the Governor of the State may, with the previous consent of the President, authorize the use of the Hindi language or any other language used for any official purpose of the State, in the proceedings of the High Court having its principal seat in that State provided that decrees, judgments or orders passed by such High Courts shall be in English. The Official Language Act, 1963 reiterates this and provides under Section 7 that the use of Hindi or official language of a State in addition to the English language may be authorized, with the consent of the President of India, by the Governor of the State for the purpose of judgments, decrees etc. made by the High Court for that State. No law has been made in this regard by the Parliament so far. Therefore, English continues to be the language for all the proceedings of the Supreme Court.
The 18th Law Commission of India in its 216th Report on “Non-Feasibility of Introduction of Hindi as Compulsory Language in the Supreme Court of India” (2008) has, after detailed discussions with all stake-holders, inter-alia, recommended that the higher judiciary should not be subjected to any kind of even persuasive change in the present societal context. The Government has accepted the stand of the Commission.
The use of Hindi has been authorized long back in the proceedings as well in the judgments, decrees or orders in the High Courts of the States of Rajasthan, Madhya Pradesh, Uttar Pradesh and Bihar. Government of India had received proposals from the Government of Tamil Nadu, Gujarat, Chhattisgarh, West Bengal and Karnataka to permit use of Tamil, Gujarati, Hindi, Bengali and Kannada in the proceedings of the Madras High Court, Gujarat High Court, Chhattisgarh High Court, Calcutta High Court and Karnataka High Court respectively. The advice of the Chief Justice of India was sought on these proposals as per a decision of Cabinet Committee taken in 1965 which provides that comments of the Chief Justice of India are necessary before considering any proposal for use of Hindi or any Regional language in the proceedings of a High Court. The Chief Justice of India vide his d.o. dated 16.10.2012 intimated that the Full Court, after due deliberations, decided not to accept the proposals. The Government has abided by the decision of the Supreme Court.
Based on another request from the Government of Tamil Nadu, the Government requested the Chief Justice of India to review the earlier decisions in this regard vide. letter dated 04.07.2014 and convey the consent of the Supreme Court of India. Hon’ble the Chief Justice of India vide his d.o. letter dated 18.01.2016 conveyed that the Full Court, after extensive deliberations disapproved the proposal and reiterated the earlier decisions of the Hon’ble Court.
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Use of Hindi and regional languages"
https://doj.gov.in/redressal-of-public-grievances/,"Last updated: 08-10-2024

a. Department of Justice (DoJ) receives large number of Citizen’s grievances from citizens through President’s Secretariat/Vice-President’s Secretariat/PMO/directly from the citizens through online CPGRAMS Portal. The Department has been rated as one of the 20 largest grievances receiving Departments by the Department of Administrative Reforms & Public Grievances. Besides, large number of grievances is also received through post.
b. Department of Justice is mandated to deal with grievances related to appointment of Judges of Supreme Court/High Courts, legal assistance/legal aid/legal awareness/ e-Courts/Judicial Reforms etc. Grievances related to these issues only are dealt with by Department of Justice.
c. Grievances related to judiciary are forwarded electronically to the Secretary General, Supreme Court of India/Registrar General of the concerned High Court for further action, as appropriate. A copy is endorsed to the grievance holder for information.
d. Grievances received in the Department of Justice are considered and examined by the Judiciary as per their own in house mechanism and the system/procedure to deal with grievances. In such cases, Department of Justice is not in a position to inform the outcome to grievance holders.
e. CPGRAMS Version 7.0 has recently been launched in DOJ.  The new  version aims to reduce the travel time for resolution of a grievance. Citizens can reach to concerned officer responsible for resolution of grievance directly by choosing drop down menu.
f. In the month of September 2024, 1086 grievance were received on CPGRAMS. A total of 801 grievances were disposed leaving a cumulative pendency of 285.


g. Detailed guidelines for disposal of grievances by Department of Justice have been uploaded on website www.doj.gov.in for information/guidance of grievance holders/citizens.
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Redressal of Public Grievances"
https://doj.gov.in/guidelines-of-grievances/,"Last updated: 14-03-2022

No administrative action can be taken on a grievance; subject matter of which is subjudice.
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Guidelines of Grievances"
https://doj.gov.in/#,"









DEPARTMENT OF JUSTICE
Latest News













"
https://doj.gov.in/#,"









DEPARTMENT OF JUSTICE
Latest News













"
https://doj.gov.in/fast-track-special-court-ftscs/,"Last updated: 01-07-2024
Championing the cause of safety and security of women and girl child, the Government provided for stringent punishment including death penalty for perpetrators of rape by passing the Criminal Law (Amendment) Act, 2018. Incidents of sexual offences and prolonged trials of accused necessitated dedicated court machinery to provide immediate relief to the victims. Since October 2019, the Department of Justice is implementing a Centrally Sponsored Scheme, to set up Fast Track Special Courts (FTSCs) including exclusive POCSO Courts across the nation for expeditious trial relating to sexual offences. Each court comprises of 1 Judicial Officer and 7 Staff Members. Out of 31 States and UTs eligible, 30 have joined this scheme. Puducherry made a special request to join the Scheme and the one exclusive POCSO Court was operationalized in May, 2023.
The Scheme was initially for a period of one year spread over two Financial Years 2019-20 and 2020-21 at a total outlay of Rs. 767.25 Cr. with Rs. 474 Cr. as Central Share to be met from Nirbhaya Fund. The Cabinet approved the continuation of the Scheme for two years i.e. up to March, 2023 with a total budgetary outlay of Rs. 1572.86 Cr. with Rs.971.70 Cr. as central share. The Union Cabinet in its meeting held on 28.11.2023 has further extended the Scheme for another three years – from 01.04.2023 to 31.03.2026, at a total financial outlay of Rs. 1952.23 Cr. including Rs. 1207.24 Cr. as Central Share to be incurred from Nirbhaya Fund.
In F.Y. 2019-20, Rs. 140 Cr, in F.Y. 2020-21 Rs.160.00 Cr, in F.Y. 2021-22, Rs.134.56 Cr, in F.Y. 2022-23, Rs. 200.00 Cr and in the F.Y. 2023-24, Rs. 200.00 Cr. was released to States/UTs as Central Share.
As on May 2024, 755 FTSCs including 410 exclusive POCSO (ePOCSO) Courts are functional in 30 States / UTs which have disposed of more than 2,53,000 pending cases. In the current F.Y 2024-25, a total of Rs. 200.00 Cr. has been allocated.
For the robust implementation of the Scheme, this Department has created an online monitoring framework for monthly monitoring of case statistics. Regular review meetings with the Registrar Generals of High Courts and State functionaries are being undertaken.






Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Fast Track Special Courts (FTSCs)"
https://dashboard.doj.gov.in/fast-track-special-court/,"FTSCs at a Glance
Functional Courts
Non-Functional Courts
Disposal – Cumulative Disposal by the FTSCs
Pendency by the FTSCs
Fund Status
Evaluation Report
Resources
Gallery
Contact Us
DISCLAIMER: Setting up and functioning of the FTSCs, Family Courts, Special Courts for MP/MLA and Fast Track Courts falls within the domain of State Govt. in consultation with their respective High Courts which are set up as per their need and resources. Information furnished above is as reported by the concerned High Courts.Fast Track Special Courts
AT A GLANCE
750
408
281691
203588
Functional Fast Track Special Courts including exclusive POCSO Courts.
Total Functional exclusive POCSO Courts
Cumulative Disposal since the inception of the scheme
Pendency in Fast Track Special Courts including exclusive POCSO









"
https://doj.gov.in/#,"









DEPARTMENT OF JUSTICE
Latest News













"
https://doj.gov.in/special-courts-for-mp-mla/,"Last updated: 13-12-2023
As directed by the Hon’ble Supreme Court of India vide its Orders dated 01.11.2017 and 14.12.2017, the Union Government facilitated setting up of 12 Special Courts in States, for expeditious trial of criminal cases involving MP/MLAs. Accordingly, 12 Special Courts (02 in NCT of Delhi and 01 each in the state of UP, Bihar, WB, MP, Maharashtra, Karnataka, Andhra Pradesh, Telangana, Tamil Nadu and Kerala) were constituted. 10 Special Courts are presently functional in 9 States (Special court of Bihar and Kerala were discontinued as per direction of the apex court dated 04.12.2018). Performance of these special courts is being monitored by the Hon’ble Supreme Court of India.
For more information visit https://dashboard.doj.gov.in/mp-mla-special-court/
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Special Courts for MP/MLA"
https://dashboard.doj.gov.in/mp-mla-special-court/,"Dashboard
No. of Court Functional
No. of cases disposed during the Month
No. of cases pending
DISCLAIMER: Setting up and functioning of the FTSCs, Family Courts, Special Courts for MP/MLA and Fast Track Courts falls within the domain of State Govt. in consultation with their respective High Courts which are set up as per their need and resources. Information furnished above is as reported by the concerned High Courts.MP-MLA Special Courts
Dashboard









"
https://doj.gov.in/sanctions-2/," 
 
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Sanctions"
https://doj.gov.in/#,"









DEPARTMENT OF JUSTICE
Latest News













"
https://doj.gov.in/fast-track-courts/,"Last updated: 01-07-2024
Setting up of Fast Track Courts (FTCs) and its functioning lies within the domain of State Governments in consultation with the respective High Courts. The 14th Finance Commission had recommended the setting up of 1800 FTCs during 2015-20 dealing with cases of heinous crimes; civil cases related to women, children, senior citizens, HIV/AIDS etc. and property related cases pending for more than 5 years. The Commission also urged State Governments to utilize enhanced fiscal space available through tax devolution (32% to 42%) for this purpose. 866 FTCs are functional across the country (May, 2024).
For more information visit https://dashboard.doj.gov.in/fast-track-court/
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Fast track courts (FTCs)"
https://dashboard.doj.gov.in/fast-track-court/,"Dashboard
No. of Court Functional
No. of cases disposed during the Month
No. of cases pending
DISCLAIMER: Setting up and functioning of the FTSCs, Family Courts, Special Courts for MP/MLA and Fast Track Courts falls within the domain of State Govt. in consultation with their respective High Courts which are set up as per their need and resources. Information furnished above is as reported by the concerned High Courts.Fast Track Court
Dashboard









"
https://doj.gov.in/#,"









DEPARTMENT OF JUSTICE
Latest News













"
